время процесса = 800c
L, м T, C
0 43,7267706486083
0,00303030303030303 43,7184828749661
0,00606060606060606 43,7094023822505
0,00909090909090909 43,6995291702463
0,0121212121212121 43,6888632385947
0,0151515151515152 43,6774045867943
0,0181818181818182 43,665153214201
0,0212121212121212 43,652109120029
0,0242424242424242 43,6382723033513
0,0272727272727273 43,623642763101
0,0303030303030303 43,6082204980719
0,0333333333333333 43,5920055069201
0,0363636363636364 43,5749977881649
0,0393939393939394 43,5571973401907
0,0424242424242424 43,5386041612483
0,0454545454545455 43,5192182494567
0,0484848484848485 43,499039602805
0,0515151515151515 43,4780682191543
0,0545454545454545 43,45630409624
0,0575757575757576 43,4337472316736
0,0606060606060606 43,4103976229456
0,0636363636363636 43,3862552674276
0,0666666666666667 43,3613201623751
0,0696969696969697 43,3355923049299
0,0727272727272727 43,3090716921234
0,0757575757575758 43,2817583208792
0,0787878787878788 43,2536521880159
0,0818181818181818 43,224753290251
0,0848484848484849 43,1950616242033
0,0878787878787879 43,1645771863967
0,0909090909090909 43,1332999732635
0,0939393939393939 43,101229981148
0,096969696969697 43,0683672063101
0,1 43,0347116449287
0,103030303030303 43,000263293106
0,106060606060606 42,9650221468708
0,109090909090909 42,9289882021827
0,112121212121212 42,8921614549362
0,115151515151515 42,8545419009644
0,118181818181818 42,8161295360433
0,121212121212121 42,7769243558961
0,124242424242424 42,7369263561972
0,127272727272727 42,6961355325765
0,13030303030303 42,6545518806239
0,133333333333333 42,6121753958931
0,136363636363636 42,5690060739069
0,139393939393939 42,5250439101608
0,142424242424242 42,4802889001277
0,145454545454545 42,4347410392626
0,148484848484848 42,3884003230066
0,151515151515152 42,3412667467919
0,154545454545455 42,2933403060461
0,157575757575758 42,2446209961964
0,160606060606061 42,1951088126747
0,163636363636364 42,1448037509216
0,166666666666667 42,0937058063911
0,16969696969697 42,0418149745553
0,172727272727273 41,9891312509083
0,175757575757576 41,9356546309712
0,178787878787879 41,8813851102961
0,181818181818182 41,826322684471
0,184848484848485 41,7704673491235
0,187878787878788 41,7138190999256
0,190909090909091 41,6563779325978
0,193939393939394 41,5981438429131
0,196969696969697 41,5391168267018
0,2 41,4792968798549
0,203030303030303 41,4186839983285
0,206060606060606 41,3572781781479
0,209090909090909 41,295079415411
0,212121212121212 41,2320877062928
0,215151515151515 41,1683030470489
0,218181818181818 41,103725434019
0,221212121212121 41,0383548636307
0,224242424242424 40,9721913324031
0,227272727272727 40,9052348369499
0,23030303030303 40,8374853739834
0,233333333333333 40,7689429403168
0,236363636363636 40,6996075328682
0,239393939393939 40,6294791486631
0,242424242424242 40,5585577848376
0,245454545454545 40,4868434386412
0,248484848484848 40,4143361074393
0,251515151515152 40,341035788716
0,254545454545455 40,2669424800767
0,257575757575758 40,19205617925
0,260606060606061 40,1163768840905
0,263636363636364 40,0399045925805
0,266666666666667 39,9626393028322
0,26969696969697 39,8845810130894
0,272727272727273 39,8057297217295
0,275757575757576 39,7260854272647
0,278787878787879 39,6456481283439
0,281818181818182 39,5644178237538
0,284848484848485 39,4823945124199
0,287878787878788 39,3995781934081
0,290909090909091 39,315968865925
0,293939393939394 39,2315665293193
0,296969696969697 39,146371183082
0,3 39,0603828268468
